bloque,variedad,siembra,cv
34.0,Potomac Early Rosse,2018-10-19,75
34.0,Potomac Crimson,2018-10-29,66
34.0,Potomac Early Yellow,2018-11-02,64
34.0,Potomac Early Pink,2018-11-02,61
34.0,Potomac Early Pink,2018-11-03,60
32.0,Potomac Crimson,2018-11-05,67
34.0,Potomac Early Pink,2018-11-06,60
34.0,Potomac Early Pink,2018-11-06,62
34.0,Potomac Early Pink,2018-11-08,58
32.0,Potomac Crimson,2018-11-09,65
32.0,Potomac Crimson,2018-11-09,55
32.0,Potomac Crimson,2018-11-09,63
32.0,Potomac Crimson,2018-11-09,63
32.0,Potomac Crimson,2018-11-09,65
32.0,Potomac Crimson,2018-11-09,63
32.0,Potomac Crimson,2018-11-09,54
34.0,Potomac Early Pink,2018-11-10,56
34.0,Potomac Early White,2018-11-10,56
34.0,Potomac Early Rosse,2018-11-10,56
34.0,Potomac Early Rosse,2018-11-10,56
34.0,Potomac Early Rosse,2018-11-10,56
34.0,Potomac Early Rosse,2018-11-10,56
34.0,Potomac Early Pink,2018-11-10,56
34.0,Potomac Early Rosse,2018-11-10,56
34.0,Potomac Early Pink,2018-11-12,60
34.0,Potomac Early Pink,2018-11-12,60
34.0,Potomac Early White,2018-11-12,56
34.0,Potomac Early Pink,2018-11-12,59
34.0,Potomac Early White,2018-11-12,54
34.0,Potomac Early Pink,2018-11-12,60
34.0,Potomac Early Pink,2018-11-12,57
34.0,Potomac Early Yellow,2018-11-13,61
34.0,Potomac Early Rosse,2018-11-13,57
34.0,Potomac Early Pink,2018-11-14,52
34.0,Potomac Early Pink,2018-11-14,58
34.0,Potomac Early White,2018-11-15,53
34.0,Potomac Early Pink,2018-11-15,57
34.0,Potomac Early White,2018-11-15,55
34.0,Potomac Early White,2018-11-15,55
34.0,Potomac Early Pink,2018-11-15,60
34.0,Potomac Early Rosse,2018-11-16,65
34.0,Potomac Early Pink,2018-11-20,58
34.0,Potomac Early Pink,2018-11-20,59
34.0,Potomac Early Pink,2018-11-20,56
34.0,Potomac Early Pink,2018-11-20,59
34.0,Potomac Early Pink,2018-11-20,59
34.0,Potomac Early White,2018-11-20,53
34.0,Potomac Early Pink,2018-11-20,59
34.0,Potomac Early Pink,2018-11-20,60
34.0,Potomac Early White,2018-11-20,53
34.0,Potomac Early Rosse,2018-11-20,49
34.0,Potomac Early Rosse,2018-11-20,46
34.0,Potomac Early Pink,2018-11-20,60
34.0,Potomac Early Pink,2018-11-20,61
34.0,Potomac Early Pink,2018-11-20,59
34.0,Potomac Early Pink,2018-11-22,57
48.0,Potomac Early White,2018-11-24,53
48.0,Potomac Early White,2018-11-26,51
48.0,Potomac Early Yellow,2018-11-26,56
48.0,Potomac Early White,2018-11-27,55
48.0,Potomac Early White,2018-11-27,55
48.0,Potomac Early White,2018-11-28,54
34.0,Potomac Early Pink,2018-11-29,63
48.0,Potomac Early Yellow,2018-11-30,59
48.0,Potomac Early Yellow,2018-11-30,55
48.0,Potomac Early White,2018-11-30,53
42.0,Potomac Crimson,2018-12-10,61
42.0,Potomac Early Yellow,2018-12-12,57
42.0,Potomac Early Rosse,2018-12-12,59
42.0,Potomac Early Yellow,2018-12-12,54
42.0,Potomac Crimson,2018-12-13,64
42.0,Potomac Early White,2018-12-14,54
42.0,Potomac Early Rosse,2018-12-15,61
42.0,Potomac Early Rosse,2018-12-15,55
42.0,Potomac Early Rosse,2018-12-15,62
42.0,Potomac Early Rosse,2018-12-20,62
42.0,Potomac Early Rosse,2018-12-20,65
42.0,Potomac Early White,2018-12-21,55
42.0,Potomac Early White,2018-12-21,50
42.0,Potomac Early White,2018-12-27,49
32.0,Potomac Crimson,2018-12-27,68
42.0,Potomac Early White,2018-12-27,49
42.0,Potomac Early White,2018-12-27,44
32.0,Potomac Crimson,2018-12-27,68
32.0,Potomac Crimson,2018-12-27,65
42.0,Potomac Early Pink,2018-12-28,56
32.0,Potomac Early Rosse,2018-12-28,68
42.0,Potomac Early Pink,2018-12-28,53
32.0,Potomac Early Rosse,2018-12-28,69
32.0,Potomac Crimson,2019-01-02,62
42.0,Potomac Early Pink,2019-01-03,51
42.0,Potomac Early White,2019-01-04,54
42.0,Potomac Early White,2019-01-04,49
32.0,Potomac Early Yellow,2019-01-05,65
32.0,Potomac Early Rosse,2019-01-05,59
32.0,Potomac Early Rosse,2019-01-05,65
42.0,Potomac Early Pink,2019-01-08,51
42.0,Potomac Early White,2019-01-09,44
42.0,Potomac Early Pink,2019-01-09,50
42.0,Potomac Early White,2019-01-10,48
42.0,Potomac Early White,2019-01-10,47
42.0,Potomac Early White,2019-01-10,48
42.0,Potomac Early White,2019-01-11,45
42.0,Potomac Early Orange,2019-01-11,43
32.0,Potomac Early Rosse,2019-01-11,70
32.0,Potomac Early White,2019-01-12,52
32.0,Potomac Early White,2019-01-12,51
32.0,Potomac Crimson,2019-01-12,58
32.0,Potomac Early Pink,2019-01-12,54
32.0,Potomac Crimson,2019-01-12,58
32.0,Potomac Crimson,2019-01-12,61
32.0,Potomac Early Orange,2019-01-14,50
32.0,Potomac Early Pink,2019-01-14,59
32.0,Potomac Early Pink,2019-01-14,61
32.0,Potomac Early Yellow,2019-01-14,52
32.0,Potomac Crimson,2019-01-14,65
32.0,Potomac Early Pink,2019-01-16,51
32.0,Potomac Early White,2019-01-16,55
32.0,Potomac Early White,2019-01-16,55
32.0,Potomac Early Orange,2019-01-16,54
32.0,Potomac Early White,2019-01-18,53
32.0,Potomac Early Yellow,2019-01-18,53
32.0,Potomac Early White,2019-01-18,55
32.0,Potomac Early White,2019-01-18,53
32.0,Potomac Early Rosse,2019-01-19,60
32.0,Potomac Early Rosse,2019-01-19,51
32.0,Potomac Early Rosse,2019-01-19,51
32.0,Potomac Crimson,2019-01-19,53
32.0,Potomac Early White,2019-01-22,49
32.0,Potomac Early Orange,2019-01-22,51
32.0,Potomac Early Yellow,2019-01-22,51
32.0,Potomac Early White,2019-01-22,49
32.0,Potomac Early Pink,2019-01-24,46
32.0,Potomac Early Pink,2019-01-24,46
32.0,Potomac Early White,2019-01-24,53
32.0,Potomac Early White,2019-01-24,54
32.0,Potomac Crimson,2019-01-25,56
32.0,Potomac Early White,2019-01-25,53
34.0,Potomac Early Rosse,2019-01-29,63
34.0,Potomac Crimson,2019-01-29,65
34.0,Potomac Early Rosse,2019-01-30,78
32.0,Potomac Early Orange,2019-01-31,47
32.0,Potomac Early Orange,2019-01-31,43
32.0,Potomac Early Orange,2019-01-31,39
32.0,Potomac Early Yellow,2019-02-01,52
32.0,Potomac Early White,2019-02-01,47
32.0,Potomac Early White,2019-02-01,47
32.0,Potomac Early White,2019-02-01,38
32.0,Potomac Early White,2019-02-01,50
32.0,Potomac Early White,2019-02-01,50
32.0,Potomac Early White,2019-02-02,37
32.0,Potomac Early White,2019-02-02,53
34.0,Potomac Early Rosse,2019-02-02,75
34.0,Potomac Early Rosse,2019-02-02,75
34.0,Potomac Early Rosse,2019-02-02,74
32.0,Potomac Early Orange,2019-02-05,39
34.0,Potomac Crimson,2019-02-06,62
32.0,Potomac Early Yellow,2019-02-06,40
34.0,Potomac Early Yellow,2019-02-06,61
34.0,Potomac Early Rosse,2019-02-07,61
34.0,Potomac Early Rosse,2019-02-07,61
34.0,Potomac Early Rosse,2019-02-07,61
34.0,Potomac Early Rosse,2019-02-07,61
34.0,Potomac Early Pink,2019-02-09,54
34.0,Potomac Early Pink,2019-02-09,52
34.0,Potomac Early White,2019-02-09,48
34.0,Potomac Crimson,2019-02-09,59
34.0,Potomac Early Pink,2019-02-09,55
34.0,Potomac Early White,2019-02-09,46
34.0,Potomac Early White,2019-02-09,46
34.0,Potomac Early Orange,2019-02-12,43
34.0,Potomac Early Rosse,2019-02-13,52
34.0,Potomac Early White,2019-02-13,59
34.0,Potomac Early White,2019-02-13,47
34.0,Potomac Early Rosse,2019-02-13,50
34.0,Potomac Early White,2019-02-13,48
34.0,Potomac Early Rosse,2019-02-13,52
34.0,Potomac Early White,2019-02-13,48
34.0,Potomac Early Pink,2019-02-14,49
34.0,Potomac Early Pink,2019-02-14,49
34.0,Potomac Early White,2019-02-14,49
34.0,Potomac Early Rosse,2019-02-15,49
34.0,Potomac Early Rosse,2019-02-15,49
34.0,Potomac Early Rosse,2019-02-15,50
34.0,Potomac Early White,2019-02-15,53
34.0,Potomac Early White,2019-02-15,49
34.0,Potomac Early Rosse,2019-02-15,52
34.0,Potomac Early White,2019-02-15,59
34.0,Potomac Early White,2019-02-15,53
34.0,Potomac Early Pink,2019-02-16,54
34.0,Potomac Early Pink,2019-02-16,54
34.0,Potomac Early Pink,2019-02-16,48
34.0,Potomac Early Pink,2019-02-16,48
34.0,Potomac Early Pink,2019-02-16,48
34.0,Potomac Early Pink,2019-02-16,59
34.0,Potomac Early Orange,2019-02-16,47
34.0,Potomac Early White,2019-02-18,56
34.0,Potomac Early Pink,2019-02-18,57
34.0,Potomac Early Orange,2019-02-19,49
34.0,Potomac Early Orange,2019-02-19,49
34.0,Potomac Early Rosse,2019-02-20,44
34.0,Potomac Early Rosse,2019-02-20,45
34.0,Potomac Early Rosse,2019-02-20,54
34.0,Potomac Early Rosse,2019-02-20,45
34.0,Potomac Early Rosse,2019-02-20,52
34.0,Potomac Early Rosse,2019-02-20,52
34.0,Potomac Early Rosse,2019-02-20,52
34.0,Potomac Early White,2019-02-21,53
34.0,Potomac Early White,2019-02-21,51
34.0,Potomac Early Pink,2019-02-21,60
34.0,Potomac Early Pink,2019-02-21,55
34.0,Potomac Early White,2019-02-21,51
34.0,Potomac Early White,2019-02-21,51
34.0,Potomac Early Pink,2019-02-21,55
34.0,Potomac Early Orange,2019-02-21,42
34.0,Potomac Early White,2019-02-21,53
34.0,Potomac Early Pink,2019-02-21,53
34.0,Potomac Early White,2019-02-21,51
34.0,Potomac Early White,2019-02-21,41
34.0,Potomac Early White,2019-02-21,53
34.0,Potomac Early White,2019-02-21,53
34.0,Potomac Early White,2019-02-21,53
34.0,Potomac Early Pink,2019-02-22,52
34.0,Potomac Early White,2019-02-22,52
34.0,Potomac Early White,2019-02-22,48
34.0,Potomac Early Pink,2019-02-22,59
34.0,Potomac Early Pink,2019-02-22,59
42.0,Potomac Early Rosse,2019-02-23,66
34.0,Potomac Early Pink,2019-02-25,50
34.0,Potomac Early White,2019-02-25,47
34.0,Potomac Early White,2019-02-25,45
34.0,Potomac Early White,2019-02-25,45
34.0,Potomac Early White,2019-02-25,46
34.0,Potomac Early White,2019-02-26,45
34.0,Potomac Early White,2019-02-26,45
34.0,Potomac Early Pink,2019-02-26,51
34.0,Potomac Early Pink,2019-02-26,51
46.0,Potomac Early White,2019-03-02,48
46.0,Potomac Early White,2019-03-02,49
46.0,Potomac Early White,2019-03-02,49
46.0,Potomac Early White,2019-03-04,47
46.0,Potomac Early White,2019-03-04,45
42.0,Potomac Early White,2019-03-05,51
42.0,Potomac Early White,2019-03-05,52
42.0,Potomac Early White,2019-03-05,50
42.0,Potomac Early White,2019-03-05,51
42.0,Potomac Early White,2019-03-05,54
42.0,Potomac Early White,2019-03-05,51
42.0,Potomac Early White,2019-03-05,51
42.0,Potomac Early White,2019-03-06,50
42.0,Potomac Early White,2019-03-06,50
42.0,Potomac Early Orange,2019-03-09,54
42.0,Potomac Crimson,2019-03-09,62
42.0,Potomac Early Orange,2019-03-09,54
42.0,Potomac Early Orange,2019-03-11,52
42.0,Potomac Early White,2019-03-13,42
42.0,Potomac Early White,2019-03-13,42
42.0,Potomac Early Rosse,2019-03-14,56
42.0,Potomac Early Rosse,2019-03-14,62
42.0,Potomac Early Pink,2019-03-14,55
42.0,Potomac Early Orange,2019-03-18,51
42.0,Potomac Early Pink,2019-03-18,53
42.0,Potomac Early Orange,2019-03-21,48
42.0,Potomac Early Orange,2019-03-21,50
32.0,Potomac Early Rosse,2019-03-21,68
42.0,Potomac Early Yellow,2019-03-23,55
42.0,Potomac Crimson,2019-03-23,55
32.0,Potomac Early Yellow,2019-03-28,61
32.0,Potomac Early Pink,2019-03-28,61
32.0,Potomac Early Yellow,2019-03-28,63
32.0,Potomac Crimson,2019-03-28,74
32.0,Potomac Crimson,2019-03-29,59
32.0,Potomac Early Pink,2019-03-30,60
32.0,Potomac Early Pink,2019-03-30,59
32.0,Potomac Early Pink,2019-03-30,59
32.0,Potomac Early Yellow,2019-04-01,49
32.0,Potomac Early Orange,2019-04-01,49
32.0,Potomac Early Orange,2019-04-01,49
32.0,Potomac Early White,2019-04-03,45
32.0,Potomac Early White,2019-04-05,48
32.0,Potomac Early White,2019-04-05,48
32.0,Potomac Crimson,2019-04-05,50
32.0,Potomac Early Yellow,2019-04-05,41
32.0,Potomac Early Orange,2019-04-05,41
32.0,Potomac Early Pink,2019-04-05,53
32.0,Potomac Crimson,2019-04-05,48
32.0,Potomac Early Pink,2019-04-05,45
32.0,Potomac Early Orange,2019-04-05,48
32.0,Potomac Early Yellow,2019-04-08,46
32.0,Potomac Early White,2019-04-10,43
32.0,Potomac Early Pink,2019-04-12,48
32.0,Potomac Early Orange,2019-04-12,46
32.0,Potomac Early Orange,2019-04-12,46
32.0,Potomac Early Pink,2019-04-12,49
32.0,Potomac Early Pink,2019-04-12,50
32.0,Potomac Early White,2019-04-12,46
34.0,Potomac Early Rosse,2019-04-17,62
34.0,Potomac Early Rosse,2019-04-17,58
34.0,Potomac Early Orange,2019-04-18,56
34.0,Potomac Early Rosse,2019-04-19,69
34.0,Potomac Early Orange,2019-04-20,56
34.0,Potomac Early Pink,2019-04-22,54
34.0,Potomac Early Yellow,2019-04-23,63
34.0,Potomac Early Yellow,2019-04-23,51
34.0,Potomac Early White,2019-04-26,39
34.0,Potomac Early Pink,2019-04-26,48
34.0,Potomac Early Pink,2019-04-26,48
34.0,Potomac Early Pink,2019-04-26,62
34.0,Potomac Early White,2019-04-26,39
34.0,Potomac Early White,2019-04-26,45
34.0,Potomac Early White,2019-04-26,45
34.0,Potomac Early Orange,2019-04-26,39
34.0,Potomac Early Orange,2019-04-26,39
34.0,Potomac Early Pink,2019-04-26,60
34.0,Potomac Early Pink,2019-04-26,60
34.0,Potomac Early Rosse,2019-04-29,54
34.0,Potomac Early Pink,2019-04-30,45
34.0,Potomac Early White,2019-05-02,56
34.0,Potomac Early Pink,2019-05-02,56
34.0,Potomac Early White,2019-05-02,48
34.0,Potomac Early Orange,2019-05-02,56
34.0,Potomac Early Orange,2019-05-04,45
34.0,Potomac Early Rosse,2019-05-04,66
34.0,Potomac Early Orange,2019-05-07,43
34.0,Potomac Early Orange,2019-05-07,49
34.0,Potomac Early Rosse,2019-05-09,58
34.0,Potomac Early Orange,2019-05-10,43
34.0,Potomac Early Pink,2019-05-11,60
34.0,Potomac Early White,2019-05-11,38
34.0,Potomac Early Pink,2019-05-11,59
34.0,Potomac Early Pink,2019-05-11,55
34.0,Potomac Early Orange,2019-05-13,54
34.0,Potomac Early White,2019-05-14,42
34.0,Potomac Early Pink,2019-05-14,59
34.0,Potomac Early Pink,2019-05-14,57
34.0,Potomac Early White,2019-05-15,41
34.0,Potomac Early Rosse,2019-05-15,68
34.0,Potomac Early Pink,2019-05-16,55
34.0,Potomac Early Pink,2019-05-16,57
34.0,Potomac Early Yellow,2019-05-16,51
34.0,Potomac Early White,2019-05-17,59
34.0,Potomac Early Pink,2019-05-18,58
34.0,Potomac Early Pink,2019-05-21,59
34.0,Potomac Early Pink,2019-05-28,51
34.0,Potomac Early Rosse,2019-05-30,57
34.0,Potomac Early Pink,2019-05-30,46
46.0,Potomac Early Yellow,2019-06-01,44
46.0,Potomac Early Yellow,2019-06-01,49
34.0,Potomac Early Rosse,2019-06-04,50
46.0,Potomac Early Yellow,2019-06-04,48
46.0,Potomac Early Yellow,2019-06-04,51
28.0,Potomac Early Pink,2019-06-07,53
28.0,Potomac Early White,2019-06-07,46
28.0,Potomac Crimson,2019-06-07,55
28.0,Potomac Early Pink,2019-06-08,47
28.0,Potomac Early White,2019-06-10,45
28.0,Potomac Early Pink,2019-06-10,50
28.0,Potomac Crimson,2019-06-11,48
28.0,Potomac Crimson,2019-06-11,56
28.0,Potomac Crimson,2019-06-12,47
28.0,Potomac Early Pink,2019-06-12,48
28.0,Potomac Early White,2019-06-13,47
28.0,Potomac Early White,2019-06-13,47
28.0,Potomac Early Pink,2019-06-13,50
28.0,Potomac Early Yellow,2019-06-14,46
28.0,Potomac Early Yellow,2019-06-14,48
28.0,Potomac Crimson,2019-06-17,52
28.0,Potomac Early White,2019-06-17,43
28.0,Potomac Crimson,2019-06-18,52
28.0,Potomac Early White,2019-06-18,45
28.0,Potomac Crimson,2019-06-18,51
28.0,Potomac Crimson,2019-06-19,56
28.0,Potomac Early Pink,2019-06-22,65
28.0,Potomac Early Orange,2019-06-27,43
28.0,Potomac Early Pink,2019-06-28,45
26.0,Potomac Early Rosse,2019-07-02,52
26.0,Potomac Early White,2019-07-02,49
28.0,Potomac Early White,2019-07-02,39
26.0,Potomac Early White,2019-07-02,51
26.0,Potomac Early White,2019-07-04,49
26.0,Potomac Early White,2019-07-04,50
26.0,Potomac Early Pink,2019-07-04,48
26.0,Potomac Early Rosse,2019-07-05,56
26.0,Potomac Early Pink,2019-07-05,49
26.0,Potomac Early White,2019-07-05,47
26.0,Potomac Early White,2019-07-09,45
26.0,Potomac Early White,2019-07-09,49
26.0,Potomac Early White,2019-07-09,45
26.0,Potomac Early Pink,2019-07-10,49
26.0,Potomac Early White,2019-07-12,49
26.0,Potomac Early White,2019-07-12,46
26.0,Potomac Early White,2019-07-13,45
26.0,Potomac Early Pink,2019-07-13,48
26.0,Potomac Early Rosse,2019-07-15,53
26.0,Potomac Early White,2019-07-15,44
26.0,Potomac Early White,2019-07-15,45
26.0,Potomac Early White,2019-07-16,44
26.0,Potomac Early White,2019-07-16,46
26.0,Potomac Early Pink,2019-07-17,47
27.0,Potomac Early White,2019-07-22,44
27.0,Potomac Early White,2019-07-25,46
27.0,Potomac Early Pink,2019-07-25,47
27.0,Potomac Early White,2019-07-25,44
27.0,Potomac Early Pink,2019-07-26,46
28.0,Potomac Early Yellow,2019-08-23,60
28.0,Potomac Early Pink,2019-08-23,52
28.0,Potomac Early Yellow,2019-08-23,63
28.0,Potomac Early Yellow,2019-08-23,53
28.0,Potomac Early Yellow,2019-08-23,57
28.0,Potomac Early Yellow,2019-08-23,60
28.0,Potomac Early Pink,2019-08-23,60
28.0,Potomac Early Pink,2019-08-23,55
28.0,Potomac Early White,2019-09-04,42
28.0,Potomac Early White,2019-09-04,45
28.0,Potomac Early White,2019-09-04,41
28.0,Potomac Early White,2019-09-04,43
28.0,Potomac Early White,2019-09-04,48
28.0,Potomac Early White,2019-09-04,43
28.0,Potomac Early White,2019-09-04,43
28.0,Potomac Crimson,2019-09-05,42
28.0,Potomac Crimson,2019-09-05,74
28.0,Potomac Crimson,2019-09-05,55
28.0,Potomac Crimson,2019-09-05,44
28.0,Potomac Crimson,2019-09-05,53
28.0,Potomac Crimson,2019-09-05,57
28.0,Potomac Crimson,2019-09-05,55
28.0,Potomac Crimson,2019-09-05,46
28.0,Potomac Crimson,2019-09-05,55
28.0,Potomac Crimson,2019-09-05,60
28.0,Potomac Crimson,2019-09-05,51
26.0,Potomac Early Pink,2019-09-17,64
26.0,Potomac Early Pink,2019-09-23,56
48.0,Potomac Early Yellow,2019-10-15,53
48.0,Potomac Crimson,2019-10-18,64
48.0,Potomac Early White,2019-10-18,50
48.0,Potomac Early White,2019-10-21,47
48.0,Potomac Early White,2019-10-22,46
48.0,Potomac Early White,2019-10-22,49
48.0,Potomac Early White,2019-10-22,46
48.0,Potomac Early Yellow,2019-10-28,56
48.0,Potomac Early White,2019-10-29,49
48.0,Potomac Crimson,2019-10-30,61
48.0,Potomac Early White,2019-11-01,52
48.0,Potomac Crimson,2019-11-05,66
42.0,Potomac Early Rosse,2019-11-06,57
42.0,Potomac Early Rosse,2019-11-07,60
42.0,Potomac Early Yellow,2019-11-07,57
42.0,Potomac Early Rosse,2019-11-07,62
26.0,Potomac Early Orange,2019-11-15,54
42.0,Potomac Crimson,2019-11-15,70
42.0,Potomac Crimson,2019-11-15,70
42.0,Potomac Early Pink,2019-11-18,58
42.0,Potomac Early Rosse,2019-11-19,59
42.0,Potomac Early Rosse,2019-11-19,56
42.0,Potomac Early Pink,2019-11-19,51
42.0,Potomac Early Pink,2019-11-19,55
42.0,Potomac Crimson,2019-11-19,66
42.0,Potomac Early White,2019-11-20,51
26.0,Potomac Early Pink,2019-11-20,56
42.0,Potomac Early White,2019-11-20,54
42.0,Potomac Early White,2019-11-20,51
42.0,Potomac Early White,2019-11-20,51
42.0,Potomac Crimson,2019-11-20,66
26.0,Potomac Early Pink,2019-11-20,49
42.0,Potomac Early Pink,2019-11-21,55
42.0,Potomac Early Pink,2019-11-21,56
42.0,Potomac Crimson,2019-11-22,69
42.0,Potomac Early White,2019-11-22,49
42.0,Potomac Early White,2019-11-22,49
26.0,Potomac Early White,2019-11-25,43
42.0,Potomac Early Pink,2019-11-26,51
42.0,Potomac Early Pink,2019-11-26,55
42.0,Potomac Early Pink,2019-11-28,61
42.0,Potomac Early Pink,2019-11-30,55
42.0,Potomac Early White,2019-11-30,34
42.0,Potomac Early Pink,2019-11-30,55
26.0,Potomac Early Orange,2019-12-01,48
42.0,Potomac Crimson,2019-12-01,48
22.0,Potomac Early White,2019-12-03,53
22.0,Potomac Early White,2019-12-04,55
22.0,Potomac Early White,2019-12-04,55
22.0,Potomac Early White,2019-12-05,54
22.0,Potomac Early White,2019-12-05,54
22.0,Potomac Early Pink,2019-12-05,54
22.0,Potomac Early Pink,2019-12-05,57
22.0,Potomac Early Pink,2019-12-06,57
22.0,Potomac Early Rosse,2019-12-06,69
22.0,Potomac Early Pink,2019-12-06,53
22.0,Potomac Early Pink,2019-12-06,54
22.0,Potomac Early White,2019-12-09,51
22.0,Potomac Early White,2019-12-09,50
22.0,Potomac Early Pink,2019-12-09,53
22.0,Potomac Early Rosse,2019-12-13,69
22.0,Potomac Early Orange,2019-12-13,59
22.0,Potomac Early White,2019-12-17,45
22.0,Potomac Early Orange,2019-12-17,59
22.0,Potomac Early White,2019-12-17,46
22.0,Potomac Early White,2019-12-18,41
22.0,Potomac Early White,2019-12-18,41
22.0,Potomac Early White,2019-12-18,41
48.0,Potomac Crimson,2019-12-24,66
48.0,Potomac Early Rosse,2019-12-24,62
48.0,Potomac Early White,2019-12-26,55
48.0,Potomac Early Yellow,2019-12-27,56
48.0,Potomac Early Rosse,2019-12-27,56
48.0,Potomac Early Yellow,2019-12-31,55
48.0,Potomac Early White,2019-12-31,50
48.0,Potomac Early Yellow,2020-01-02,55
48.0,Potomac Early Yellow,2020-01-03,59
48.0,Potomac Early White,2020-01-03,41
48.0,Potomac Early White,2020-01-03,52
48.0,Potomac Crimson,2020-01-07,65
48.0,Potomac Early White,2020-01-07,49
48.0,Potomac Early Yellow,2020-01-08,62
48.0,Potomac Early Yellow,2020-01-08,58
48.0,Potomac Crimson,2020-01-09,62
42.0,Potomac Early Yellow,2020-01-10,60
25.0,Potomac Early Pink,2020-01-16,53
25.0,Potomac Early Rosse,2020-01-16,55
25.0,Potomac Early White,2020-01-16,53
25.0,Potomac Early White,2020-01-16,49
25.0,Potomac Early White,2020-01-17,52
25.0,Potomac Early Orange,2020-01-17,46
25.0,Potomac Early Pink,2020-01-17,52
25.0,Potomac Early Pink,2020-01-17,52
25.0,Potomac Early White,2020-01-17,48
25.0,Potomac Early Pink,2020-01-17,52
25.0,Potomac Early Yellow,2020-01-17,52
25.0,Potomac Early Rosse,2020-01-17,56
25.0,Potomac Early Pink,2020-01-17,56
25.0,Potomac Early Rosse,2020-01-18,55
25.0,Potomac Early Pink,2020-01-18,47
25.0,Potomac Early Pink,2020-01-20,51
25.0,Potomac Early Pink,2020-01-20,51
25.0,Potomac Early Yellow,2020-01-21,50
25.0,Potomac Early Pink,2020-01-21,50
25.0,Potomac Early Pink,2020-01-21,52
25.0,Potomac Early Pink,2020-01-21,55
25.0,Potomac Early Pink,2020-01-24,53
25.0,Potomac Early Pink,2020-01-24,53
25.0,Potomac Early White,2020-01-24,45
25.0,Potomac Early Rosse,2020-01-27,58
25.0,Potomac Early Pink,2020-01-27,50
25.0,Potomac Early Pink,2020-01-27,50
25.0,Potomac Early Pink,2020-01-27,53
25.0,Potomac Early Pink,2020-01-27,59
25.0,Potomac Early Rosse,2020-01-27,58
25.0,Potomac Early White,2020-01-28,49
25.0,Potomac Early White,2020-01-28,35
25.0,Potomac Early Pink,2020-01-29,47
25.0,Potomac Early Pink,2020-01-29,48
25.0,Potomac Early Rosse,2020-01-29,47
25.0,Potomac Early Pink,2020-01-29,48
25.0,Potomac Early Rosse,2020-01-29,56
25.0,Potomac Early White,2020-01-30,48
25.0,Potomac Early White,2020-01-30,48
25.0,Potomac Early Orange,2020-01-30,50
25.0,Potomac Early White,2020-01-30,35
25.0,Potomac Early Orange,2020-01-30,48
25.0,Potomac Early White,2020-01-30,33
25.0,Potomac Early Pink,2020-01-31,55
25.0,Potomac Early Rosse,2020-01-31,55
7.0,Potomac Crimson,2020-02-19,53
42.0,Potomac Early Yellow,2020-02-19,59
22.0,Potomac Early Pink,2020-02-19,61
22.0,Potomac Early Pink,2020-02-20,53
22.0,Potomac Early White,2020-02-20,54
22.0,Potomac Early White,2020-02-20,53
22.0,Potomac Early Pink,2020-02-20,56
22.0,Potomac Early Pink,2020-02-20,53
22.0,Potomac Early Pink,2020-02-20,56
22.0,Potomac Early Pink,2020-02-20,53
22.0,Potomac Early Pink,2020-02-20,53
22.0,Potomac Early Pink,2020-02-20,53
7.0,Potomac Crimson,2020-02-20,52
22.0,Potomac Early Pink,2020-02-20,53
22.0,Potomac Early Pink,2020-02-20,53
22.0,Potomac Early White,2020-02-21,55
22.0,Potomac Early White,2020-02-21,55
22.0,Potomac Early Pink,2020-02-21,52
22.0,Potomac Early Pink,2020-02-21,52
22.0,Potomac Early White,2020-02-21,55
22.0,Potomac Early Pink,2020-02-21,52
22.0,Potomac Early White,2020-02-21,55
22.0,Potomac Early White,2020-02-21,55
22.0,Potomac Early White,2020-02-21,55
22.0,Potomac Early Pink,2020-02-21,52
22.0,Potomac Early White,2020-02-21,55
22.0,Potomac Early Pink,2020-02-21,52
22.0,Potomac Early White,2020-02-22,54
22.0,Potomac Early White,2020-02-22,54
22.0,Potomac Early White,2020-02-22,54
22.0,Potomac Early White,2020-02-24,52
22.0,Potomac Early White,2020-02-24,52
22.0,Potomac Early Orange,2020-02-24,49
22.0,Potomac Early Pink,2020-02-24,49
22.0,Potomac Early White,2020-02-24,52
22.0,Potomac Early White,2020-02-24,49
22.0,Potomac Early White,2020-02-24,52
22.0,Potomac Early White,2020-02-24,52
22.0,Potomac Early White,2020-02-25,51
22.0,Potomac Early White,2020-02-25,51
22.0,Potomac Early White,2020-02-25,48
22.0,Potomac Early White,2020-02-25,51
22.0,Potomac Early White,2020-02-25,51
22.0,Potomac Early White,2020-02-25,48
22.0,Potomac Early White,2020-02-26,47
22.0,Potomac Early White,2020-02-26,47
22.0,Potomac Early White,2020-02-26,50
22.0,Potomac Early Orange,2020-02-27,46
22.0,Potomac Early Pink,2020-02-27,52
7.0,Potomac Early Yellow,2020-02-27,45
7.0,Potomac Early Yellow,2020-02-28,47
7.0,Potomac Crimson,2020-02-28,53
7.0,Potomac Crimson,2020-03-02,46
23.0,Potomac Early White,2020-03-04,49
23.0,Potomac Early White,2020-03-04,49
23.0,Potomac Early White,2020-03-04,50
23.0,Potomac Early White,2020-03-04,50
23.0,Potomac Early Pink,2020-03-05,53
23.0,Potomac Early Yellow,2020-03-06,53
23.0,Potomac Early Pink,2020-03-06,52
23.0,Potomac Early Pink,2020-03-06,52
